Metai,Emigrantu_sk
2009M01,2618
2009M02,2491
2009M03,3480
2009M04,2891
2009M05,2649
2009M06,2718
2009M07,3245
2009M08,4508
2009M09,3889
2009M10,3500
2009M11,3038
2009M12,3473
2010M01,1742
2010M02,1822
2010M03,2112
2010M04,11324
2010M05,10011
2010M06,8782
2010M07,10898
2010M08,12605
2010M09,8365
2010M10,6431
2010M11,5041
2010M12,4024
2011M01,4892
2011M02,3789
2011M03,4850
2011M04,4822
2011M05,4564
2011M06,4598
2011M07,5473
2011M08,6439
2011M09,5033
2011M10,3768
2011M11,3036
2011M12,2599
2012M01,3611
2012M02,2677
2012M03,3252
2012M04,3306
2012M05,3043
2012M06,3505
2012M07,4117
2012M08,5040
2012M09,3944
2012M10,3685
2012M11,2818
2012M12,2102
2013M01,3247
2013M02,2634
2013M03,2782
2013M04,3352
2013M05,2995
2013M06,3011
2013M07,4100
2013M08,4745
2013M09,3726
2013M10,3508
2013M11,2679
2013M12,2039
2014M01,2946
2014M02,2406
2014M03,2743
2014M04,2802
2014M05,3115
2014M06,2996
2014M07,3816
2014M08,4303
2014M09,3559
2014M10,3215
2014M11,2552
2014M12,2168
2015M01,2840
2015M02,2671
2015M03,3968
2015M04,4846
2015M05,3732
2015M06,3319
2015M07,5033
2015M08,4965
2015M09,3951
2015M10,3401
2015M11,3039
2015M12,2768
2016M01,3445
2016M02,2900
2016M03,3478
2016M04,3723
2016M05,3785
2016M06,4188
2016M07,4719
2016M08,6769
2016M09,4972
2016M10,4061
